Frequency,MeasFreq,VpkpkMeter,Phase,"FFT Hz","FFT Meg"
67234,67260,0.608,-49.289,66667,-14.37
72790,72990,0.576,-166.417,-75000,-15.73
78805,78800,0.552,-53.17,75000,-18.47
85317,85350,0.528,-53.956,-83333,-16.51
92367,92370,0.488,-58.356,91667,-16.28
100000,100000,0.464,-190.991,100000,-16.68
108264,108300,0.448,-241.725,100000,-20.99
117210,117100,0.42,-63.526,116667,-17.54
126896,126800,0.392,-62.284,133333,-20.38
137382,137400,0.38,-65.38,133333,-19.49
148735,148600,0.344,-148.85,-150000,-19.34
161026,161000,0.328,-68.572,166667,-21.59
174333,174400,0.304,-71.166,166667,-23.62
188739,188900,0.288,-72.737,183333,-22.57
204336,204400,0.272,-72.441,200000,-22.64
221222,221100,0.256,-75.714,216667,-23.39
239503,239500,0.24,-71.784,250000,-23.97
259294,259500,0.228,-75.421,250000,-24.19
280722,281300,0.208,-133.596,291667,-25.37
303920,303800,0.2,-78.989,291667,-26.0
329034,328300,0.184,-79.444,333333,-25.71
356225,356300,0.18,-78.143,375000,-29.5
385662,385900,0.164,-79.115,375000,-27.68
417532,417700,0.152,-78.498,416667,-27.51
452035,452600,0.144,-79.306,458333,-28.59
489390,488700,0.136,-76.413,500000,-29.83
529832,529800,0.128,-79.116,541667,-30.82
573615,574300,0.124,-127.0,583333,-30.45
621017,621000,0.116,-128.337,583333,-33.89
672336,671100,0.108,-82.305,666667,-31.6
727895,726600,0.096,-80.911,750000,-33.55
788046,789500,0.104,-131.422,-750000,-36.46
853168,853400,0.092,-225.826,833333,-34.49
923671,922400,0.096,-83.454,916667,-34.47
1000000,1000000,0.088,-81.821,1000000,-35.11
1082637,1083000,0.08,-261.811,1000000,-39.6
1172102,1173000,0.084,-139.511,-1166667,-36.62
1268961,1267000,0.084,-83.574,1333333,-39.94
1373824,1375000,0.072,-86.005,1333333,-39.1
1487352,1488000,0.068,-80.381,1500000,-39.17
1610262,1609000,0.06,-207.487,1666667,-41.97
1743329,1743000,0.06,-200.899,1666667,-43.85
1887392,1885000,0.06,-82.291,1833333,-43.51
2043360,2046000,0.06,-87.996,2000000,-43.5
2212216,2210000,0.056,-83.106,2166667,-44.88
2395027,2392000,0.052,-85.047,2500000,-45.59
2592944,2592000,0.052,-87.389,2500000,-45.85
2807216,2801000,0.048,-83.384,2916667,-47.35
3039195,3037000,0.048,-116.989,2916667,-49.37
3290345,3297000,0.044,-84.749,3333333,-48.27
3562248,3560000,0.044,-89.622,3750000,-51.72
3856620,3846000,0.04,-89.842,-3750000,-50.34
4175319,4182000,0.044,-86.296,4166667,-51.47
4520354,4519000,0.036,-138.254,-4583333,-53.41
4893901,4889000,0.044,-63.165,5000000,-54.34
5298317,5296000,0.04,-70.639,5416667,-55.69
5736153,5736000,0.044,-131.664,-5833333,-53.79
6210169,6211000,0.032,-78.665,-5833333,-57.18
6723358,6728000,0.04,-78.463,6666667,-56.28
7278954,7293000,0.032,-142.69,-7500000,-57.98
7880463,7909000,0.036,-46.147,102500000,-62.92
8531679,8496000,0.028,-63.347,-8333333,-63.72
9236709,9234000,0.028,-54.796,100833333,-61.13
10000000,10000000,0.028,-196.587,105000000,-58.48
