Frequency,MeasFreq,VpkpkMeter,Phase,"FFT Hz","FFT Meg"
100,100,0.128,79.247,-100,-30.15
108,108,0.132,119.309,100,-32.95
117,117,0.144,-277.643,117,-28.66
127,127,0.148,81.3,133,-30.43
137,137,0.156,53.269,133,-28.03
149,149,0.164,278.947,150,-26.8
161,161,0.176,52.677,167,-27.85
174,174,0.188,78.594,167,-28.42
189,189,0.2,283.224,183,-26.05
204,204,0.212,76.279,200,-24.87
221,222,0.224,284.273,217,-24.35
240,239,0.24,76.019,250,-23.79
259,259,0.264,82.291,250,-22.54
281,281,0.288,73.035,292,-22.5
304,304,0.3,287.392,292,-21.83
329,329,0.316,71.14,333,-20.33
356,356,0.336,289.769,375,-22.82
386,385,0.36,291.247,-375,-19.75
418,418,0.376,65.698,417,-18.31
452,453,0.404,293.103,-458,-18.11
489,489,0.432,63.574,500,-18.24
530,530,0.448,60.901,542,-18.01
574,574,0.48,60.046,583,-16.43
621,620,0.512,58.365,583,-18.62
672,672,0.544,88.227,-667,-15.28
728,727,0.56,53.496,750,-15.87
788,789,0.6,51.358,750,-17.41
853,853,0.632,86.669,-833,-14.64
924,924,0.656,46.837,917,-13.59
1000,1001,0.672,45.503,1000,-13.18
1083,1083,0.704,135.172,1000,-16.57
1172,1171,0.736,41.171,1167,-12.51
1269,1269,0.752,37.743,1333,-14.49
1374,1374,0.776,36.232,1333,-12.78
1487,1488,0.792,251.556,1500,-11.79
1610,1610,0.808,107.608,1667,-13.24
1743,1743,0.84,30.453,1667,-14.59
1887,1887,0.84,255.215,1833,-12.75
2043,2043,0.864,103.072,2000,-12.03
2212,2212,0.88,23.812,2167,-12.03
2395,2396,0.888,21.095,2500,-11.61
2593,2592,0.888,20.155,2500,-11.45
2807,2801,0.912,225.348,2917,-11.49
3039,3038,0.904,226.412,-2917,-11.91
3290,3291,0.92,14.917,3333,-10.57
3562,3562,0.912,12.837,3750,-13.36
3857,3855,0.92,11.246,3750,-11.39
4175,4181,0.928,11.014,4167,-10.31
4520,4517,0.936,7.266,4583,-10.58
4894,4894,0.936,7.033,5000,-11.15
5298,5296,0.936,4.888,5417,-11.36
5736,5734,0.936,214.817,-5833,-10.34
6210,6207,0.936,2.088,5833,-13.57
6723,6724,0.936,2.692,6667,-10.29
7279,7282,0.936,1.479,7500,-11.1
7880,7884,0.936,0.279,7500,-13.58
8532,8528,0.936,1.704,8333,-11.13
9237,9236,0.936,-3.2,9167,-10.37
10000,10000,0.936,-137.585,-10000,-10.27
10826,10820,0.944,-5.34,11667,-13.91
11721,11720,0.928,-4.596,11667,-10.32
12690,12690,0.928,-155.784,13333,-12.36
13738,13740,0.92,-10.215,13333,-11.36
14874,14870,0.912,-205.91,15000,-10.45
16103,16120,0.912,-153.657,-16667,-12.01
17433,17430,0.912,-151.644,-16667,-14.0
18874,18870,0.904,-210.355,18333,-12.31
20434,20430,0.904,-18.173,20000,-11.8
22122,22120,0.872,-19.398,21667,-12.03
23950,23960,0.872,-19.384,25000,-11.65
25929,25930,0.856,-23.032,25000,-11.91
28072,28020,0.848,-184.554,29167,-12.05
30392,30400,0.84,-26.109,29167,-12.74
32903,32880,0.816,-174.556,-33333,-11.63
35622,35610,0.792,-29.942,-37500,-14.69
38566,38550,0.776,-186.31,37500,-13.03
41753,41750,0.752,-174.232,41667,-12.25
45204,45180,0.736,-38.689,45833,-12.79
48939,48940,0.712,-37.15,50000,-13.72
52983,52980,0.688,-40.969,54167,-14.31
57362,57330,0.656,-165.483,58333,-13.63
62102,62100,0.64,-162.762,-58333,-17.11
