Frequency,MeasFreq,VpkpkMeter,Phase,"FFT Hz","FFT Meg"
2183,2183,0.88,26.11,2167,-10.97
2270,2268,0.888,24.171,2333,-12.91
2360,2363,0.896,21.325,2500,-12.12
2454,2450,0.904,22.847,2500,-10.7
2551,2550,0.904,22.98,2500,-10.85
2653,2653,0.904,21.706,2500,-12.72
2759,2759,0.904,19.925,2917,-12.4
2868,2872,0.928,17.971,2917,-10.54
2982,2982,0.928,18.148,2917,-10.81
3101,3098,0.928,18.868,2917,-13.56
3225,3223,0.928,17.944,3333,-11.17
3353,3348,0.936,16.436,3333,-10.29
3486,3489,0.936,17.223,3333,-12.41
3625,3626,0.936,11.705,3750,-11.36
3769,3766,0.952,15.505,3750,-10.23
3919,3922,0.944,12.958,3750,-12.82
4075,4076,0.944,11.088,4167,-10.7
4238,4239,0.952,10.081,4167,-10.58
4406,4405,0.952,9.943,4583,-12.67
4582,4580,0.952,9.563,4583,-10.05
4764,4769,0.96,8.779,4583,-13.04
4954,4953,0.96,8.226,5000,-10.19
5151,5150,0.968,7.844,5000,-12.13
5356,5360,0.96,9.185,5000,-13.06
5569,5573,0.968,4.303,5833,-11.28
5790,5794,0.968,7.116,5833,-9.97
6021,6028,0.952,6.03,5833,-10.83
6261,6266,0.968,4.576,6667,-13.4
6510,6515,0.96,4.097,6667,-10.38
6769,6767,0.968,3.675,6667,-10.24
7038,7035,0.968,2.966,6667,-13.24
7318,7309,0.968,1.36,7500,-10.56
7609,7609,0.968,0.356,7500,-10.27
7912,7907,0.96,1.733,8333,-13.77
8227,8222,0.976,-0.458,8333,-10.14
8555,8551,0.96,-0.768,8333,-11.14
8895,8897,0.96,-1.868,9167,-11.43
9249,9262,0.968,-2.037,9167,-10.19
9617,9617,0.96,-3.519,10000,-13.13
10000,10000,0.96,-4.418,10000,-10.03
10398,10390,0.96,-3.606,10000,-13.77
10812,10810,0.976,-5.672,11667,-13.88
11242,11250,0.96,-6.798,11667,-10.81
11690,11670,0.968,-6.983,11667,-10.05
12155,12180,0.976,-6.278,11667,-11.5
12638,12630,0.952,-6.837,13333,-12.5
13141,13150,0.944,-7.761,13333,-10.23
13664,13650,0.944,-8.649,13333,-10.79
14208,14210,0.944,-9.059,15000,-13.43
14774,14770,0.944,-8.957,15000,-10.36
15362,15370,0.944,-7.537,15000,-10.97
15973,15960,0.928,-10.945,16667,-12.68
16609,16610,0.944,-14.878,16667,-10.26
17270,17270,0.928,-12.876,16667,-12.39
17957,17990,0.928,-15.543,18333,-11.01
18672,18670,0.928,-14.52,18333,-11.05
19415,19410,0.912,-14.252,20000,-12.13
20188,20200,0.912,-17.836,20000,-10.68
20991,20990,0.92,-17.47,21667,-12.9
21826,21820,0.904,-17.382,21667,-10.72
22695,22700,0.912,-18.083,23333,-12.72
23598,23620,0.888,-19.602,25000,-12.16
24538,24560,0.896,-19.143,25000,-10.84
25514,25510,0.896,-22.506,25000,-11.02
26529,26510,0.88,-25.084,25000,-13.0
27585,27590,0.872,-23.177,29167,-12.91
28683,28640,0.864,-23.579,29167,-11.13
29825,29840,0.856,-26.523,29167,-11.47
31012,31000,0.848,-27.814,29167,-14.28
32246,32220,0.84,-26.778,33333,-12.17
33529,33490,0.832,-27.563,33333,-11.4
34864,34860,0.816,-30.417,33333,-13.54
36251,36250,0.808,-29.53,37500,-12.83
37694,37710,0.808,-35.485,37500,-11.71
39194,39190,0.792,-33.312,37500,-14.37
40754,40760,0.8,-35.665,41667,-12.56
42376,42400,0.776,-34.607,41667,-12.49
44062,44050,0.752,-36.447,45833,-14.85
45816,45820,0.744,-40.583,45833,-12.32
47639,47590,0.736,-40.128,45833,-15.37
49535,49540,0.72,-39.203,50000,-12.81
51507,51480,0.72,-41.551,50000,-14.78
53557,53610,0.704,-42.251,50000,-15.69
55688,55710,0.688,-43.468,58333,-14.59
57904,57850,0.68,-44.494,58333,-13.3
60209,60160,0.664,-46.264,58333,-14.18
62605,62630,0.64,-45.912,66667,-17.36
65097,65100,0.624,-48.501,66667,-14.41
67688,67720,0.624,-49.125,66667,-14.27
70381,70270,0.608,-51.454,66667,-17.31
73182,73260,0.592,-49.62,75000,-15.22
76095,76090,0.584,-50.022,75000,-14.95
79123,79070,0.568,-127.16,75000,-18.73
82272,82300,0.552,-55.856,83333,-15.4
85547,85620,0.544,-56.264,83333,-16.39
88951,88940,0.52,-53.195,91667,-17.24
92491,96360,0.52,-56.412,91667,-16.04
96172,96190,0.496,-56.348,100000,-19.49
100000,100000,0.48,-60.047,100000,-16.41
103980,104000,0.472,-60.57,100000,-20.13
108118,108100,0.464,-243.755,100000,-20.42
112421,112400,0.444,-59.34,116667,-18.03
116895,116900,0.428,-62.238,116667,-17.24
121547,121500,0.42,-63.32,116667,-18.66
126385,126500,0.4,-63.364,133333,-20.57
131415,131500,0.388,-65.682,133333,-18.3
136645,136700,0.388,-64.083,133333,-18.86
142083,142100,0.372,-64.151,150000,-22.27
147738,147700,0.364,-65.039,150000,-19.22
153617,153500,0.356,-67.698,150000,-19.8
159731,159900,0.34,-69.457,166667,-22.25
166088,166100,0.332,-65.488,166667,-19.83
172698,172800,0.32,-66.562,166667,-21.95
179571,179500,0.312,-69.049,183333,-21.2
186718,187000,0.308,-67.232,183333,-21.25
194149,194200,0.3,-71.118,200000,-22.9
201876,209500,0.284,-72.601,200000,-21.47
209910,210100,0.276,-74.496,216667,-24.25
218264,218200,0.264,-73.776,216667,-22.02
226951,226700,0.256,-72.1,233333,-24.47
235983,236700,0.252,-72.178,250000,-24.42
245375,245900,0.248,-72.848,250000,-23.1
255141,255200,0.236,-73.785,250000,-23.29
265295,265600,0.224,-76.304,250000,-25.32
275853,275800,0.216,-74.36,291667,-26.19
286832,287100,0.212,-75.752,291667,-24.42
298247,298400,0.208,-77.564,291667,-24.67
310117,310500,0.204,-78.27,291667,-27.52
322459,321800,0.192,-78.66,333333,-26.15
335292,335200,0.184,-75.181,333333,-25.41
348637,348400,0.18,-79.485,333333,-27.58
362512,362500,0.172,-77.091,375000,-27.55
376939,377200,0.164,-77.607,375000,-26.4
391941,391600,0.172,-80.829,375000,-28.99
407539,408000,0.16,-79.137,416667,-27.83
423759,441200,0.156,-81.05,416667,-27.77
440624,440900,0.16,-80.64,458333,-30.6
458160,458300,0.152,-77.925,458333,-28.1
476394,476800,0.14,-80.004,458333,-31.11
495354,495900,0.136,-82.751,500000,-28.96
515068,514800,0.132,-83.708,500000,-30.92
535567,535700,0.132,-81.987,500000,-31.89
556881,557100,0.132,-80.461,583333,-31.43
579044,578800,0.124,-79.967,583333,-30.11
602089,601700,0.12,-80.617,583333,-30.85
626052,626100,0.112,-97.661,583333,-34.65
650968,650000,0.116,-83.616,666667,-31.68
676875,677200,0.104,-82.991,666667,-31.64
703814,703400,0.108,-263.205,0,-34.5
731824,732700,0.104,-80.141,750000,-32.99
760950,760700,0.1,-144.942,750000,-32.9
791234,791300,0.1,-260.549,0,-34.92
822724,823300,0.104,-82.962,833333,-33.42
855467,856000,0.096,-258.685,0,-34.32
889513,889000,0.088,-79.38,0,-33.89
924915,925200,0.092,-83.42,916667,-34.35
961725,961700,0.084,-258.018,0,-35.21
1000000,1000000,0.084,-254.734,0,-35.06
