Frequency,MeasFreq,VpkpkMeter,Phase,"FFT Hz","FFT Meg"
100,100,0.116,83.714,100,-30.27
104,104,0.116,90.705,100,-33.27
108,108,0.128,97.488,100,-33.01
112,112,0.132,82.849,117,-30.45
117,125,0.136,83.184,117,-29.04
122,122,0.14,83.818,117,-29.94
126,126,0.148,79.765,133,-31.05
131,132,0.148,81.128,133,-28.22
137,137,0.152,81.308,133,-28.16
142,142,0.164,80.424,150,-30.94
148,148,0.164,79.49,150,-27.26
154,154,0.168,80.964,150,-27.28
160,160,0.176,79.136,167,-29.14
166,166,0.176,81.872,167,-25.91
173,172,0.184,80.552,167,-27.4
180,180,0.192,80.659,183,-26.05
187,187,0.192,80.097,183,-25.47
194,194,0.2,76.829,200,-26.59
202,202,0.208,76.879,200,-24.47
210,210,0.212,76.27,217,-26.57
218,218,0.224,77.425,217,-23.8
227,227,0.228,76.276,233,-25.71
236,236,0.236,75.005,250,-24.88
245,246,0.248,75.085,250,-22.93
255,255,0.248,74.045,250,-22.47
265,265,0.26,76.157,250,-23.87
276,276,0.272,73.047,292,-24.03
287,287,0.276,74.069,292,-21.63
298,299,0.284,72.426,292,-21.35
310,310,0.3,72.833,292,-23.6
322,322,0.304,70.488,333,-21.58
335,335,0.312,71.337,333,-20.16
349,349,0.324,72.648,333,-21.73
363,363,0.336,68.829,375,-20.93
377,376,0.352,69.16,375,-19.3
392,392,0.36,69.363,375,-21.29
408,408,0.368,67.082,417,-19.4
424,424,0.384,69.441,417,-18.75
441,441,0.392,64.591,458,-20.94
458,459,0.404,65.587,458,-17.82
476,477,0.42,66.165,458,-20.3
495,496,0.424,64.486,500,-17.48
515,515,0.444,63.055,500,-18.87
536,535,0.464,64.961,500,-19.47
557,556,0.48,59.885,583,-18.15
579,579,0.48,60.511,583,-16.34
602,602,0.504,61.655,583,-16.74
626,626,0.52,56.947,667,-19.55
651,651,0.528,56.481,667,-16.07
677,676,0.536,57.822,667,-15.46
704,704,0.552,57.793,667,-18.03
732,733,0.576,53.267,750,-15.56
761,761,0.584,55.394,750,-14.81
791,791,0.6,234.489,750,-18.14
823,822,0.608,51.609,833,-14.39
855,855,0.624,52.444,833,-14.97
890,889,0.648,49.091,917,-15.36
925,924,0.648,50.411,917,-13.69
962,962,0.664,46.369,1000,-16.63
1000,1000,0.68,46.728,1000,-13.21
1040,1041,0.688,47.333,1000,-16.57
1081,1081,0.704,135.241,1000,-16.64
1124,1122,0.728,42.692,1167,-13.58
1169,1170,0.736,42.834,1167,-12.52
1215,1215,0.744,42.537,1167,-13.66
1264,1263,0.752,36.707,1333,-14.77
1314,1314,0.768,37.512,1333,-12.26
1366,1367,0.784,37.826,1333,-12.56
1421,1422,0.792,34.212,1500,-15.24
1477,1478,0.792,35.681,1500,-11.97
1536,1537,0.808,34.425,1500,-12.35
1597,1596,0.808,33.083,1667,-14.04
1661,1662,0.832,32.933,1667,-11.41
1727,1729,0.832,33.226,1667,-13.32
1796,1797,0.848,31.643,1833,-11.89
1867,1867,0.856,28.756,1833,-11.74
1941,1942,0.864,28.381,2000,-12.83
2019,2021,0.872,29.895,2000,-11.17
2099,2099,0.88,26.117,2167,-13.3
