Frequency,MeasFreq,VpkpkMeter,Phase,"FFT Hz","FFT Meg"
100,100,0.14,83.344,100,-30.25
104,104,0.148,82.028,100,-33.12
108,108,0.152,83.932,100,-32.91
112,112,0.164,82.483,117,-30.29
117,117,0.16,80.39,117,-28.99
122,121,0.16,80.016,117,-29.74
126,126,0.164,81.382,133,-31.06
131,132,0.168,82.615,133,-28.05
137,137,0.168,81.622,133,-27.88
142,142,0.18,80.304,150,-30.88
148,148,0.192,83.201,150,-27.14
154,154,0.184,80.572,150,-27.09
160,160,0.2,79.969,167,-28.98
166,166,0.204,79.198,167,-25.92
173,173,0.2,78.814,167,-27.31
180,180,0.212,78.399,183,-26.01
187,187,0.232,78.433,183,-25.32
194,194,0.224,77.411,200,-26.4
202,202,0.224,77.354,200,-24.3
210,210,0.24,77.338,217,-26.43
218,218,0.256,76.889,217,-23.64
227,227,0.264,76.481,233,-25.49
236,236,0.264,73.673,250,-24.73
245,245,0.268,75.501,250,-22.73
255,255,0.272,75.061,250,-22.27
265,266,0.284,75.241,250,-23.63
276,276,0.304,73.134,292,-23.87
287,287,0.3,73.335,292,-21.48
298,298,0.32,73.266,292,-21.25
310,310,0.32,73.332,292,-23.37
322,322,0.328,71.214,333,-21.44
335,335,0.34,71.666,333,-19.99
349,349,0.352,71.101,333,-21.59
363,362,0.368,69.39,375,-20.85
377,377,0.372,68.221,375,-19.12
392,392,0.388,69.778,375,-21.16
408,408,0.396,67.292,417,-19.28
424,424,0.404,67.361,417,-18.57
441,440,0.416,65.334,458,-20.83
458,458,0.436,65.487,458,-17.68
476,477,0.432,65.024,458,-20.14
495,495,0.456,63.573,500,-17.43
515,515,0.472,62.802,500,-18.83
536,535,0.488,63.256,500,-19.27
557,557,0.504,59.584,583,-18.01
579,578,0.52,60.071,583,-16.2
602,602,0.536,60.264,583,-16.55
626,626,0.536,56.504,667,-19.48
651,651,0.568,56.842,667,-15.99
677,677,0.56,56.467,667,-15.32
704,704,0.592,56.684,667,-17.82
732,732,0.6,54.095,750,-15.38
761,761,0.616,53.869,750,-14.66
791,791,0.624,52.304,750,-17.97
823,823,0.632,51.606,833,-14.31
855,855,0.656,51.086,833,-14.86
890,889,0.664,49.305,917,-15.27
925,925,0.672,48.549,917,-13.61
962,961,0.696,46.425,1000,-16.58
1000,1000,0.712,45.668,1000,-13.11
1040,1040,0.72,45.737,1000,-16.43
1081,1081,0.72,43.483,1000,-16.41
1124,1124,0.744,41.651,1167,-13.53
1169,1169,0.768,41.879,1167,-12.44
1215,1217,0.76,41.439,1167,-13.58
1264,1264,0.776,38.572,1333,-14.76
1314,1314,0.792,38.184,1333,-12.16
1366,1366,0.8,37.751,1333,-12.43
1421,1422,0.816,35.282,1500,-15.2
1477,1476,0.824,35.343,1500,-11.89
1536,1537,0.848,34.636,1500,-12.22
1597,1599,0.84,32.594,1667,-14.0
1661,1661,0.856,31.589,1667,-11.29
1727,1727,0.864,31.567,1667,-13.24
1796,1796,0.864,29.851,1833,-11.84
1867,1867,0.872,28.919,1833,-11.65
1941,1940,0.88,27.188,2000,-12.78
2019,2018,0.896,27.198,2000,-11.07
2099,2099,0.904,25.53,2167,-13.28
2183,2183,0.912,24.701,2167,-10.89
2270,2270,0.904,22.904,2333,-12.88
2360,2361,0.912,22.466,2500,-12.12
2454,2453,0.928,21.65,2500,-10.67
2551,2551,0.928,22.358,2500,-10.77
2653,2650,0.952,21.74,2500,-12.66
2759,2758,0.928,18.879,2917,-12.37
2868,2868,0.936,18.529,2917,-10.52
2982,2984,0.952,18.157,2917,-10.75
3101,3102,0.944,17.155,2917,-13.53
3225,3222,0.944,16.675,3333,-11.12
3353,3352,0.952,15.097,3333,-10.27
3486,3487,0.968,14.739,3333,-12.37
3625,3625,0.968,13.704,3750,-11.39
3769,3767,0.968,13.102,3750,-10.2
3919,3921,0.968,13.394,3750,-12.77
4075,4075,0.96,11.207,4167,-10.71
4238,4237,0.968,10.367,4167,-10.57
4406,4406,0.976,9.724,4583,-12.69
4582,4583,0.976,9.423,4583,-10.05
4764,4761,0.984,8.696,4583,-13.07
4954,4951,0.984,8.146,5000,-10.19
5151,5150,0.976,7.218,5000,-12.09
5356,5356,0.96,6.812,5000,-13.02
5569,5567,0.992,5.709,5833,-11.27
5790,5794,0.984,5.385,5833,-9.96
6021,6026,0.984,4.439,5833,-10.82
6261,6257,0.992,2.798,6667,-13.41
6510,6514,0.992,2.733,6667,-10.37
6769,6766,0.992,3.237,6667,-10.24
7038,7037,0.976,1.902,6667,-13.22
7318,7319,0.984,1.834,7500,-10.55
7609,7610,0.992,0.641,7500,-10.29
7912,7910,0.992,0.554,8333,-13.76
8227,8225,0.984,-0.081,8333,-10.15
8555,8550,0.984,-1.541,8333,-11.13
8895,8900,1.0,-2.137,9167,-11.43
9249,9253,0.984,-2.404,9167,-10.17
9617,9617,0.976,-2.954,10000,-13.1
10000,9995,0.968,-3.781,10000,-10.02
10398,10400,0.992,-4.736,10000,-13.75
10812,10810,0.976,-4.486,11667,-13.83
11242,11240,0.968,-5.335,11667,-10.8
11690,11690,0.968,-6.046,11667,-10.05
12155,12150,0.968,-7.476,11667,-11.48
12638,12640,0.968,-7.073,13333,-12.5
13141,13140,0.968,-8.022,13333,-10.21
13664,13660,0.968,-8.919,13333,-10.8
14208,14210,0.968,-9.996,15000,-13.41
14774,14770,0.96,-10.447,15000,-10.36
15362,15360,0.968,-11.183,15000,-10.98
15973,15970,0.936,-11.653,16667,-12.69
16609,16610,0.96,-12.317,16667,-10.26
17270,17270,0.952,-14.096,16667,-12.43
17957,17960,0.952,-13.687,18333,-11.0
18672,18670,0.936,-15.594,18333,-11.06
19415,19400,0.936,-15.794,20000,-12.13
20188,20190,0.936,-16.704,20000,-10.69
20991,20990,0.952,-16.892,21667,-12.89
21826,21830,0.936,-17.793,21667,-10.74
22695,22690,0.92,-18.601,23333,-12.74
23598,23610,0.904,-19.208,25000,-12.11
24538,24540,0.912,-20.883,25000,-10.82
25514,25510,0.888,-21.82,25000,-11.07
26529,26530,0.896,-24.113,25000,-13.03
27585,27590,0.888,-22.833,29167,-12.89
