Frequency,MeasFreq,VpkpkMeter,Phase,"FFT Hz","FFT Meg"
28683,28680,0.888,-23.9,29167,-11.14
29825,29830,0.864,-26.709,29167,-11.5
31012,30980,0.856,-28.338,29167,-14.34
32246,32250,0.84,-27.215,33333,-12.16
33529,33540,0.832,-27.879,33333,-11.4
34864,34860,0.832,-31.373,33333,-13.61
36251,36230,0.824,-30.151,37500,-12.8
37694,37690,0.824,-31.303,37500,-11.73
39194,39180,0.808,-34.861,37500,-14.46
40754,40750,0.8,-34.295,41667,-12.59
42376,42380,0.776,-36.195,41667,-12.51
44062,44060,0.768,-34.418,45833,-14.88
45816,45800,0.76,-37.674,45833,-12.35
47639,47640,0.752,-39.554,45833,-15.44
49535,49530,0.752,-40.204,50000,-12.81
51507,51490,0.736,-42.222,50000,-14.88
53557,53560,0.72,-43.664,50000,-15.75
55688,55640,0.704,-42.144,58333,-14.55
57904,57960,0.696,-44.094,58333,-13.29
60209,60210,0.68,-46.758,58333,-14.22
62605,62610,0.656,-43.473,66667,-17.36
65097,65160,0.656,-47.021,66667,-14.38
67688,67690,0.64,-48.59,66667,-14.3
70381,70400,0.624,-50.915,66667,-17.33
73182,73200,0.608,-49.159,75000,-15.19
76095,76060,0.592,-51.852,75000,-14.95
79123,79160,0.584,-55.729,75000,-18.77
82272,82210,0.576,-54.051,83333,-15.41
85547,85560,0.56,-56.782,83333,-16.46
88951,89010,0.56,-55.092,91667,-17.27
92491,92470,0.528,-56.363,91667,-16.08
96172,96190,0.52,-57.044,100000,-19.48
100000,100000,0.504,-59.509,100000,-16.46
103980,104000,0.488,-60.704,100000,-20.28
108118,108000,0.488,-62.208,100000,-20.51
112421,112400,0.472,-58.967,116667,-18.29
116895,116900,0.448,-60.721,116667,-17.48
121547,121500,0.432,-64.994,116667,-18.71
126385,126400,0.42,-61.786,133333,-20.57
131415,131400,0.408,-62.179,133333,-18.32
136645,136600,0.408,-64.201,133333,-18.86
142083,142100,0.392,-63.038,150000,-22.26
147738,147700,0.384,-66.076,150000,-19.25
153617,153600,0.372,-68.219,150000,-19.86
159731,159800,0.352,-66.291,166667,-22.28
166088,165900,0.344,-68.647,166667,-19.81
172698,172700,0.328,-70.166,166667,-21.95
179571,179700,0.328,-69.323,183333,-21.22
186718,186700,0.32,-71.176,183333,-21.26
194149,194000,0.312,-70.599,200000,-22.94
201876,201900,0.304,-71.402,200000,-21.54
209910,209900,0.288,-69.607,216667,-24.27
218264,218200,0.28,-73.283,216667,-22.09
226951,226800,0.264,-72.808,233333,-24.55
235983,236100,0.26,-72.96,250000,-24.47
245375,245600,0.256,-74.44,250000,-23.13
255141,255100,0.252,-74.812,250000,-23.4
265295,265300,0.248,-75.291,250000,-25.31
275853,275500,0.224,-73.438,291667,-26.2
286832,286800,0.232,-75.241,291667,-24.46
298247,298100,0.22,-76.65,291667,-24.77
310117,309700,0.216,-78.926,291667,-27.69
322459,322400,0.204,-76.795,333333,-26.28
335292,335400,0.204,-76.637,333333,-25.45
348637,348700,0.192,-78.618,333333,-27.72
362512,362500,0.188,-78.211,375000,-27.55
376939,377000,0.192,-78.735,375000,-26.43
391941,392100,0.172,-80.995,375000,-29.09
407539,407600,0.184,-78.957,416667,-27.87
423759,423600,0.176,-79.748,416667,-27.86
440624,440500,0.168,-78.821,458333,-30.72
458160,458100,0.156,-79.55,458333,-28.1
476394,476100,0.164,-80.899,458333,-31.29
495354,495300,0.152,-80.977,500000,-28.96
515068,515000,0.148,-82.916,500000,-30.93
535567,535400,0.144,-82.797,500000,-32.0
556881,556600,0.14,-81.698,583333,-31.62
579044,579300,0.144,-81.502,583333,-30.27
602089,602600,0.132,-82.092,583333,-31.06
626052,626100,0.136,-83.276,666667,-34.55
650968,651800,0.128,-82.62,666667,-31.64
676875,676700,0.124,-82.126,666667,-31.65
703814,703600,0.124,-86.08,666667,-34.83
731824,731500,0.132,-82.406,750000,-33.33
760950,760500,0.12,-87.047,750000,-33.14
791234,791700,0.12,92.3,750000,-36.57
822724,822500,0.112,-82.157,833333,-33.23
855467,856200,0.116,-84.759,833333,-34.21
889513,889000,0.116,-82.812,916667,-35.31
924915,924600,0.1,-83.935,916667,-34.53
961725,961400,0.1,-85.734,1000000,-38.34
1000000,1000000,0.1,-84.746,1000000,-35.24
1039798,1040000,0.112,-86.415,1000000,-38.83
1081181,1081000,0.096,95.079,1000000,-39.11
1124210,1125000,0.092,-84.16,1166667,-37.24
1168952,1170000,0.092,-86.202,1166667,-36.69
1215474,1216000,0.084,-86.042,1166667,-38.08
1263848,1264000,0.088,-83.317,1333333,-40.07
1314147,1316000,0.08,-86.725,1333333,-38.09
1366448,1366000,0.084,-87.408,1333333,-38.41
1420831,1421000,0.092,-83.767,1500000,-42.0
1477378,1478000,0.088,-85.523,1500000,-39.21
1536175,1536000,0.08,-87.191,1500000,-39.84
1597312,1599000,0.084,-82.276,1666667,-42.39
1660883,1660000,0.076,-84.644,1666667,-39.42
1726983,1728000,0.076,-83.491,1666667,-42.2
1795714,1795000,0.072,-82.725,1833333,-41.13
1867181,1868000,0.068,-81.945,1833333,-41.82
1941492,1940000,0.08,-92.692,2000000,-43.87
2018760,2018000,0.08,-88.397,2000000,-42.06
2099104,2099000,0.064,-86.095,2166667,-44.67
2182645,2180000,0.072,-84.488,2166667,-42.64
2269511,2270000,0.072,-86.383,2333333,-44.76
2359833,2360000,0.064,-82.302,2500000,-46.06
2453751,2450000,0.068,-83.245,2500000,-44.21
2551407,2552000,0.056,-85.769,2500000,-43.8
2652948,2654000,0.064,-84.374,2500000,-45.81
2758532,2759000,0.052,-97.497,2916667,-47.48
2868317,2868000,0.064,-85.745,2916667,-45.75
2982471,2985000,0.056,-90.402,2916667,-44.79
3101169,3096000,0.068,-99.318,2916667,-48.64
3224591,3221000,0.06,-91.174,3333333,-48.16
3352924,3356000,0.056,-86.883,3333333,-46.86
3486365,3489000,0.06,-100.256,3333333,-50.3
3625117,3623000,0.06,-87.087,3750000,-49.96
3769391,3772000,0.06,-88.359,3750000,-48.94
3919407,3918000,0.048,-60.508,3750000,-51.92
4075393,4078000,0.052,-88.518,4166667,-49.57
4237587,4237000,0.056,-79.616,4166667,-49.71
4406236,4407000,0.056,-86.992,4583333,-53.21
4581598,4585000,0.06,-87.821,4583333,-48.42
4763938,4766000,0.056,-80.759,4583333,-53.45
4953535,4950000,0.044,-87.338,5000000,-51.3
5150678,5148000,0.048,-89.28,5000000,-53.95
5355667,5343000,0.048,-100.131,5000000,-54.59
5568814,5561000,0.044,54.872,100833333,-54.08
5790444,5786000,0.048,-79.763,5833333,-54.19
6020894,6009000,0.048,-80.585,5833333,-56.06
6260517,6261000,0.036,-61.706,833333,-57.69
6509675,6518000,0.04,-93.717,6666667,-55.85
6768750,6770000,0.056,-84.222,6666667,-53.07
7038136,7036000,0.04,72.125,100833333,-51.48
7318242,7313000,0.044,61.982,100833333,-54.12
7609497,7605000,0.048,164.572,100833333,-55.82
7912343,7909000,0.048,-99.347,8333333,-58.31
8227241,8227000,0.048,-44.387,100833333,-57.31
8554673,8554000,0.048,90.916,100833333,-56.57
8895135,8897000,0.044,161.947,48333333,-54.6
9249147,9251000,0.036,-68.994,100833333,-54.81
9617249,9615000,0.06,27.847,100833333,-51.19
10000000,9991000,0.056,33.528,100833333,-50.89
