"Frequency Hz","Magnitude db","Phase (Degrees)" ,"FFT Hz","FFT db"
53557,-3.148,-43.069,50000,-15.8
55688,-3.35,-42.015,58333,-14.6
57904,-3.35,-43.792,58333,-13.35
60209,-3.381,-45.953,58333,-14.25
62605,-3.876,-44.165,66667,-17.36
65097,-4.208,-47.402,66667,-14.4
67688,-4.208,-48.454,66667,-14.33
70381,-4.494,-52.049,66667,-17.38
73182,-4.378,-50.127,75000,-15.22
76095,-4.792,-51.746,75000,-14.97
79123,-4.986,-53.216,75000,-18.75
82272,-4.986,-53.455,83333,-15.42
85547,-5.241,-55.842,83333,-16.46
88951,-5.547,-54.751,91667,-17.29
92491,-5.776,-56.709,91667,-16.09
96172,-6.123,-56.591,100000,-19.48
100000,-6.375,-58.205,100000,-16.47
103980,-6.521,-61.127,100000,-20.25
108118,-6.821,-57.818,100000,-20.51
112421,-7.035,-58.714,116667,-18.02
116895,-7.277,-62.006,116667,-17.28
121547,-7.196,-63.13,116667,-18.73
126385,-7.518,-62.376,133333,-20.55
131415,-8.048,-63.39,133333,-18.32
136645,-8.321,-65.094,133333,-18.91
142083,-8.321,-63.95,150000,-22.28
147738,-8.874,-65.814,150000,-19.27
153617,-8.914,-68.467,150000,-19.88
159731,-9.473,-66.544,166667,-22.25
166088,-9.328,-67.193,166667,-19.87
172698,-9.722,-70.606,166667,-22.02
179571,-10.282,-69.341,183333,-21.25
186718,-10.22,-70.753,183333,-21.29
194149,-10.517,-70.356,200000,-22.94
201876,-11.229,-72.958,200000,-21.51
209910,-10.954,-71.118,216667,-24.22
218264,-11.262,-72.515,216667,-22.07
226951,-11.701,-73.165,233333,-24.53
235983,-12.111,-72.322,250000,-24.42
245375,-12.424,-73.644,250000,-23.13
255141,-12.666,-74.391,250000,-23.39
265295,-12.797,-76.75,250000,-25.39
275853,-12.666,-74.189,291667,-26.23
286832,-13.311,-75.729,291667,-24.44
298247,-13.979,-77.394,291667,-24.74
310117,-14.155,-77.334,291667,-27.58
322459,-14.155,-75.68,333333,-26.24
335292,-14.517,-78.278,333333,-25.48
348637,-15.09,-77.872,333333,-27.68
362512,-15.114,-77.865,375000,-27.59
376939,-15.528,-78.848,375000,-26.49
391941,-15.563,-79.996,375000,-29.16
407539,-15.742,-78.22,416667,-27.95
423759,-16.188,-80.283,416667,-27.9
440624,-16.419,-78.53,458333,-30.71
458160,-16.657,-80.13,458333,-28.19
476394,-17.154,-82.401,458333,-31.16
495354,-17.329,-80.357,500000,-29.02
515068,-17.589,-81.713,500000,-31.04
535567,-18.132,-81.279,500000,-31.97
556881,-18.416,-81.964,583333,-31.54
579044,-18.241,-80.659,583333,-30.17
602089,-18.711,-82.046,583333,-31.02
626052,-18.883,95.599,583333,-34.73
650968,-19.156,-82.745,666667,-31.8
676875,-19.659,-83.267,666667,-31.78
703814,-19.484,-83.294,666667,-34.69
731824,-19.659,-82.991,750000,-33.12
760950,-20.355,-85.44,750000,-32.8
791234,-20.37,95.969,750000,-36.51
822724,-20.549,-81.96,833333,-33.67
855467,-20.756,-85.408,833333,-34.67
889513,-20.756,-83.253,916667,-35.81
924915,-20.756,-85.271,916667,-34.45
961725,-21.514,-83.464,1000000,-38.2
1000000,-22.279,-86.159,1000000,-35.15
1039798,-21.763,-87.799,1000000,-38.95
1081181,-22.556,92.843,1000000,-39.37
1124210,-22.556,-84.189,1166667,-37.42
1168952,-22.678,-85.026,1166667,-36.72
1215474,-22.678,-87.046,1166667,-38.24
1263848,-22.499,-84.1,1333333,-40.47
1314147,-23.174,-85.131,1333333,-38.13
1366448,-22.499,-87.386,1333333,-38.78
1420831,-23.174,-83.878,1500000,-42.23
1477378,-23.174,-85.664,1500000,-39.41
1536175,-23.701,-85.923,1500000,-39.94
1597312,-24.048,-88.523,1666667,-42.13
1660883,-24.261,-85.405,1666667,-40.1
1726983,-24.437,-86.784,1666667,-42.16
1795714,-25.68,-84.624,1833333,-41.35
1867181,-24.861,-86.579,1833333,-41.69
1941492,-24.261,-84.775,2000000,-43.56
2018760,-24.861,-86.977,2000000,-42.18
2099104,-25.68,-83.312,2166667,-45.27
2182645,-26.021,-86.138,2166667,-43.19
2269511,-26.2,-86.419,2333333,-45.92
