"Frequency Hz","Magnitude db","Phase (Degrees)" ,"FFT Hz","FFT db"
100,-18.362,85.04,100,-30.1
108,-17.835,83.603,100,-33.18
117,-17.835,82.829,117,-28.84
127,-16.869,82.1,133,-30.67
137,-16.644,81.406,133,-28.13
149,-16.209,79.415,150,-26.86
161,-15.43,79.488,167,-27.95
174,-15.044,79.113,167,-28.55
189,-14.823,79.118,183,-26.25
204,-14.145,76.553,200,-24.91
221,-13.51,76.198,217,-24.31
240,-13.048,75.2,250,-23.79
259,-12.207,75.711,250,-22.63
281,-11.688,72.224,292,-22.51
304,-11.08,73.995,292,-21.92
329,-10.785,71.462,333,-20.34
356,-10.189,68.563,375,-22.86
386,-9.38,69.384,375,-19.84
418,-8.91,66.944,417,-18.32
452,-8.293,66.493,458,-18.18
489,-7.712,65.572,500,-18.25
530,-7.176,62.425,542,-17.94
574,-6.431,59.946,583,-16.45
621,-6.321,60.296,583,-18.67
672,-5.667,56.481,667,-15.25
728,-5.419,54.019,750,-15.8
788,-4.778,54.067,750,-17.44
853,-4.326,50.738,833,-14.65
924,-4.003,48.953,917,-13.56
1000,-3.69,45.963,1000,-13.14
1083,-3.291,44.197,1000,-16.58
1172,-3.025,43.024,1167,-12.44
1269,-2.476,38.198,1333,-14.39
1374,-2.375,37.551,1333,-12.77
1487,-2.024,33.887,1500,-11.74
1610,-1.853,32.564,1667,-13.11
1743,-1.938,31.692,1667,-14.57
1887,-1.53,29.338,1833,-12.68
2043,-1.11,27.639,2000,-11.94
2212,-1.204,25.43,2167,-11.9
2395,-1.126,22.465,2500,-11.41
2593,-0.8,21.494,2500,-11.35
2807,-0.724,17.876,2917,-11.31
3039,-0.896,18.222,2917,-11.76
3290,-0.746,15.323,3333,-10.37
3562,-0.746,12.925,3750,-13.18
3857,-0.574,13.406,3750,-11.21
4175,-0.599,11.623,4167,-10.12
4520,-0.252,10.069,4583,-10.38
4894,-0.599,7.544,5000,-10.94
5298,-0.252,5.696,5417,-11.15
5736,-0.355,5.337,5833,-10.14
6210,-0.527,4.623,5833,-13.43
6723,-0.527,2.766,6667,-10.12
7279,-0.427,1.502,7500,-10.9
7880,-0.527,0.202,7500,-13.43
8532,-0.355,-1.176,8333,-10.95
9237,-0.355,-1.986,9167,-10.19
10000,-0.355,-2.904,10000,-10.03
10826,-0.355,-5.505,11667,-13.73
11721,-0.501,-7.121,11667,-10.11
12690,-0.252,-7.108,13333,-12.15
13738,-0.673,-10.688,13333,-11.16
14874,-0.574,-10.526,15000,-10.24
16103,-0.746,-13.713,16667,-11.86
17433,-0.649,-12.62,16667,-13.8
18874,-0.574,-14.573,18333,-12.11
20434,-0.724,-16.158,20000,-11.6
22122,-0.954,-18.763,21667,-11.83
23950,-1.032,-20.838,25000,-11.5
25929,-1.032,-24.533,25000,-11.67
28072,-1.27,-24.372,29167,-11.89
30392,-1.432,-27.384,29167,-12.52
32903,-1.681,-27.374,33333,-11.46
35622,-1.852,-30.234,37500,-14.54
38566,-1.938,-34.989,37500,-12.79
41753,-2.293,-34.52,41667,-12.07
45204,-2.741,-38.069,45833,-12.6
48939,-2.853,-39.034,50000,-13.5
52983,-3.049,-40.774,54167,-14.13
57362,-3.453,-43.638,58333,-13.47
62102,-3.662,-48.152,58333,-16.83
67234,-3.986,-49.207,66667,-14.16
72790,-4.554,-49.584,75000,-15.55
78805,-4.738,-54.567,75000,-18.18
85317,-5.417,-57.307,83333,-16.27
92367,-5.776,-57.276,91667,-16.01
100000,-6.232,-57.79,100000,-16.46
108264,-6.67,-61.267,100000,-20.68
117210,-7.371,-61.299,116667,-17.34
126896,-7.697,-63.922,133333,-20.24
137382,-8.496,-66.644,133333,-19.24
148735,-8.796,-64.908,150000,-19.15
161026,-9.402,-67.652,166667,-21.41
174333,-10.006,-71.071,166667,-23.38
188739,-10.517,-71.004,183333,-22.32
204336,-11.057,-72.132,200000,-22.39
221222,-11.701,-73.189,216667,-23.14
239503,-12.396,-70.084,250000,-23.74
259294,-13.298,-75.878,250000,-23.99
280722,-13.135,-75.105,291667,-25.17
303920,-13.807,-78.42,291667,-25.79
329034,-14.517,-76.272,333333,-25.49
356225,-14.895,-75.699,375000,-29.28
385662,-15.528,-79.688,375000,-27.56
417532,-16.31,-79.264,416667,-27.33
452035,-16.595,-82.417,458333,-28.47
489390,-17.329,-79.421,500000,-29.71
529832,-17.589,-81.332,541667,-30.66
573615,-18.132,-84.209,583333,-30.24
621017,-18.84,-83.23,583333,-33.48
672336,-19.016,-81.45,666667,-31.57
727895,-20.0,-83.072,750000,-33.68
788046,-20.355,-82.98,750000,-35.98
853168,-20.355,-86.365,833333,-34.4
923671,-21.11,-83.697,916667,-34.49
1000000,-21.686,-86.236,1000000,-35.0
